FID,BLOCKID10,HOUSING10,POP10,X,Y
"7,392",420031414001003,15,37,"1,363,848.838930000100000","403,653.468350999990000"
"7,393",420031414004002,0,0,"1,367,090.717149999900000","405,287.870503999990000"
"7,394",420032701001000,46,86,"1,330,587.331270000000000","429,080.881008000000000"
"7,395",420032701001007,18,41,"1,331,794.254040000000000","428,558.523871999990000"
"7,396",420032701001009,20,43,"1,331,637.320280000100000","428,298.568453999990000"
"7,397",420039809001005,0,0,"1,329,994.903230000100000","424,255.578183999980000"
"7,398",420032620003008,5,11,"1,343,556.331730000000000","420,828.441891999970000"
"7,399",420032620003031,43,97,"1,345,323.882060000000000","421,462.225007999980000"
"7,400",420032620001014,5,8,"1,343,066.324880000000000","420,663.164027000020000"
"7,401",420032620002003,7,16,"1,344,798.211540000000000","421,188.183075000010000"
"7,402",420032620001003,0,0,"1,345,450.729180000000000","420,220.970869000010000"
"7,403",420032620001007,22,22,"1,345,150.371850000000000","419,587.228034000030000"
"7,404",420032620003033,4,8,"1,345,634.985270000100000","420,470.156729999990000"
"7,405",420032620001004,3,9,"1,345,731.143530000000000","420,082.160626999980000"
"7,406",420032406002002,99,150,"1,346,948.510689999900000","420,186.195084000010000"
"7,407",420032412002004,8,8,"1,344,989.124450000000000","418,366.051217000000000"
"7,408",420035632003032,30,36,"1,343,378.503770000100000","417,405.855222999990000"
"7,409",420035632003046,23,26,"1,343,405.828990000100000","417,279.876601000030000"
"7,410",420035632003056,0,0,"1,342,958.165560000100000","416,961.242052000020000"
"7,411",420035632003045,15,10,"1,343,555.363470000000000","417,165.124475000020000"
"7,412",420035632003034,22,21,"1,343,852.102840000100000","417,291.970906000000000"
"7,413",420032412002013,20,34,"1,344,358.243880000000000","417,924.217134999980000"
"7,414",420035632003051,13,29,"1,343,589.945880000000000","417,016.126679999990000"
"7,415",420035632003067,27,38,"1,344,065.111710000100000","416,809.918332999980000"
"7,416",420032708003003,10,15,"1,334,780.165530000100000","428,746.965866999990000"
"7,417",420032701002018,46,95,"1,330,858.686250000000000","427,211.238643000020000"
"7,418",420032701002023,0,0,"1,331,024.002430000100000","426,551.289992999980000"
"7,419",420032701002031,13,19,"1,331,118.472600000000000","426,060.602625000000000"
"7,420",420032701001013,32,63,"1,332,560.480930000100000","427,874.802482000030000"
"7,421",420032701001023,49,109,"1,332,088.983629999900000","426,737.232549000010000"
